1.9228 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
107.9522 	EXP 	fixation: autoDraw = False
107.9688 	EXP 	grating: autoDraw = True
107.9688 	EXP 	grating: tex = 'sin'
108.2688 	EXP 	grating: autoDraw = False
108.3538 	EXP 	window1: recordFrameIntervals = False
108.3545 	DATA 	Keypress: right
108.3688 	EXP 	fixation: autoDraw = False
108.3688 	EXP 	grating: autoDraw = False
108.3690 	EXP 	window1: recordFrameIntervals = False
109.3528 	EXP 	fixation: autoDraw = True
110.3527 	EXP 	fixation: autoDraw = False
110.3694 	EXP 	grating: autoDraw = True
110.3694 	EXP 	grating: tex = 'sin'
110.6688 	EXP 	grating: autoDraw = False
110.8369 	EXP 	window1: recordFrameIntervals = False
110.8376 	DATA 	Keypress: left
110.8522 	EXP 	fixation: autoDraw = False
110.8522 	EXP 	grating: autoDraw = False
110.8523 	EXP 	window1: recordFrameIntervals = False
111.8359 	EXP 	fixation: autoDraw = True
112.8356 	EXP 	fixation: autoDraw = False
112.8356 	EXP 	grating: autoDraw = True
112.8356 	EXP 	grating: tex = 'sin'
113.1354 	EXP 	grating: autoDraw = False
113.3205 	EXP 	window1: recordFrameIntervals = False
113.3212 	DATA 	Keypress: left
113.3356 	EXP 	fixation: autoDraw = False
113.3356 	EXP 	grating: autoDraw = False
113.3358 	EXP 	window1: recordFrameIntervals = False
114.3192 	EXP 	fixation: autoDraw = True
115.3188 	EXP 	fixation: autoDraw = False
115.3354 	EXP 	grating: autoDraw = True
115.3354 	EXP 	grating: tex = 'sin'
115.6353 	EXP 	grating: autoDraw = False
115.7370 	EXP 	window1: recordFrameIntervals = False
115.7377 	DATA 	Keypress: right
115.7523 	EXP 	fixation: autoDraw = False
115.7523 	EXP 	grating: autoDraw = False
115.7525 	EXP 	window1: recordFrameIntervals = False
116.7360 	EXP 	fixation: autoDraw = True
117.7356 	EXP 	fixation: autoDraw = False
117.7521 	EXP 	grating: autoDraw = True
117.7521 	EXP 	grating: tex = 'sin'
118.0523 	EXP 	grating: autoDraw = False
118.1872 	EXP 	window1: recordFrameIntervals = False
118.1880 	DATA 	Keypress: right
118.2020 	EXP 	fixation: autoDraw = False
118.2020 	EXP 	grating: autoDraw = False
118.2022 	EXP 	window1: recordFrameIntervals = False
119.1857 	EXP 	fixation: autoDraw = True
120.1853 	EXP 	fixation: autoDraw = False
120.2023 	EXP 	grating: autoDraw = True
120.2023 	EXP 	grating: tex = 'sin'
120.5020 	EXP 	grating: autoDraw = False
120.6701 	EXP 	window1: recordFrameIntervals = False
120.6708 	DATA 	Keypress: right
120.6855 	EXP 	fixation: autoDraw = False
120.6855 	EXP 	grating: autoDraw = False
120.6857 	EXP 	window1: recordFrameIntervals = False
121.6690 	EXP 	fixation: autoDraw = True
122.6688 	EXP 	fixation: autoDraw = False
122.6855 	EXP 	grating: autoDraw = True
122.6855 	EXP 	grating: tex = 'sin'
122.9852 	EXP 	grating: autoDraw = False
123.1369 	EXP 	window1: recordFrameIntervals = False
123.1376 	DATA 	Keypress: right
123.1521 	EXP 	fixation: autoDraw = False
123.1521 	EXP 	grating: autoDraw = False
123.1522 	EXP 	window1: recordFrameIntervals = False
124.1359 	EXP 	fixation: autoDraw = True
125.1354 	EXP 	fixation: autoDraw = False
125.1354 	EXP 	grating: autoDraw = True
125.1354 	EXP 	grating: tex = 'sin'
125.4352 	EXP 	grating: autoDraw = False
125.5370 	EXP 	window1: recordFrameIntervals = False
125.5377 	DATA 	Keypress: left
125.5518 	EXP 	fixation: autoDraw = False
125.5518 	EXP 	grating: autoDraw = False
125.5520 	EXP 	window1: recordFrameIntervals = False
126.5358 	EXP 	fixation: autoDraw = True
127.5354 	EXP 	fixation: autoDraw = False
127.5519 	EXP 	grating: autoDraw = True
127.5519 	EXP 	grating: tex = 'sin'
127.8521 	EXP 	grating: autoDraw = False
127.9702 	EXP 	window1: recordFrameIntervals = False
127.9710 	DATA 	Keypress: left
127.9854 	EXP 	fixation: autoDraw = False
127.9854 	EXP 	grating: autoDraw = False
127.9856 	EXP 	window1: recordFrameIntervals = False
128.9694 	EXP 	fixation: autoDraw = True
129.9687 	EXP 	fixation: autoDraw = False
129.9852 	EXP 	grating: autoDraw = True
129.9852 	EXP 	grating: tex = 'sin'
130.2852 	EXP 	grating: autoDraw = False
130.4202 	EXP 	window1: recordFrameIntervals = False
130.4209 	DATA 	Keypress: left
130.4352 	EXP 	fixation: autoDraw = False
130.4352 	EXP 	grating: autoDraw = False
130.4353 	EXP 	window1: recordFrameIntervals = False
131.4191 	EXP 	fixation: autoDraw = True
132.4185 	EXP 	fixation: autoDraw = False
